bookID,title,authors,average_rating,isbn,isbn13,language_code,num_pages,ratings_count,text_reviews_count,publication_date,publisher
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,1593081774,9781593081775,eng,803,303,48,8/26/2004,Barnes & Noble
570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8,321430840,9780321430847,en-US,456,549,42,8/1/2006,Peachpit Press
848,No Price Too High: A Pentecostal Preacher Becomes Catholic - The Inspirational Story of Alex Jones as Told to Diane Hanson,Alex C. Jones/Diane M. Hanson/Stephen K. Ray,4.27,898709199,9780898709193,en-GB,259,51,7,4/30/2006,Ignatius Press
866,Fullmetal Alchemist  Vol. 9 (Fullmetal Alchemist  #9),Hiromu Arakawa/Akira Watanabe,4.57,142150460X,9781421504605,eng,192,9013,153,9/19/2006,VIZ Media LLC
870,Fullmetal Alchemist  Vol. 1 (Fullmetal Alchemist  #1),Hiromu Arakawa/Akira Watanabe,4.5,1591169208,9781591169208,eng,192,111091,1427,5/3/2005,VIZ Media LLC
880,Pompeii,Robert   Harris,3.82,812974611,9780812974614,eng,274,26922,1726,11/8/2005,Random House Trade Paperbacks
1138,The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers,Robert P. Miles/Tom Osborne,4.07,471430455,9780471430452,eng,432,39,1,4/18/2003,Wiley
1188,Risotto: 30 Simply Delicious Vegetarian Recipes from an Italian Kitchen,Ursula Ferrigno/Jason Lowe/Maxine  Clark,4.08,1841721476,694055000612,eng,64,8,2,3/1/2001,Ryland Peters & Small
1318,Last of the Amazons,Steven Pressfield,3.76,553382047,9780553382044,eng,400,2138,125,7/1/2003,Bantam
1731,Practice! Practice!: A Latin Via Ovid Workbook,Norma Goldman/Michael  Rossi,4.08,814326110,9780814326114,eng,152,12,0,7/1/1995,Wayne State University Press
2249,The Seven Habits of Highly Effective People,Stephen R. Covey,4.1,671708635,9780671708634,eng,368,2505,233,9/15/1990,Free Press
2253,Daily Reflections For Highly Effective People: Living the 7 Habits of Highly Successful People Every Day,Stephen R. Covey,3.9,671887173,9780671887179,eng,384,336,26,3/21/1994,Simon  Schuster
2718,Salt in His Shoes: Michael Jordan in Pursuit of a Dream,Deloris Jordan/Kadir Nelson/Roslyn M. Jordan,4.2,689834195,9780689834196,eng,32,1178,173,11/1/2003,Simon  Schuster Books for Young Readers
3469,Nights in Rodanthe,Nicholas Sparks,3.84,446691798,9780446691796,en-US,212,1596,157,8/1/2004,Warner Books
3985,The Amazing Adventures of Kavalier & Clay,Michael Chabon,4.18,312282990,9780312282998,eng,639,165862,9143,8/25/2001,Picador USA
4352,Hello! Is That Grandma?,Ian Whybrow/Deborah Allwright,3.53,439944392,9780439944397,en-GB,32,57,14,5/7/2007,Alison Green Books
